indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2012,3.3534773,3.4,[1.4-6.4],Both sexes,Urban,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,1999,1.371853596,1.37,[0.51 - 2.58],Urban,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2010,10265.461,10 265,[2112-25 089],Both sexes,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,1992,14.77146519,14.8,[11.3-18.8],Both sexes,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2000,3,3.0,[2.4-3.7],6 to 59 months,Rural,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2005,4.698065246,4.7,[2.4-7.2],Both sexes,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2008,19.4,19.4,[16.1-23.1],24 to 35 months,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2022,3.4,3.4,[3.0-3.8],Total,Urban,Total
"Stunting numbers among children under 5 years of age (millions), model-based estimates",NUTSTUNTINGNUM,Kenya,KEN,2007,1067.8,1067.8,[1022.2-1117.6],Female,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1996,108.9284693,108.9,[102.0-116.0],Both sexes,Total,Total
"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",SA_0000001688,Kenya,KEN,2010,2.674223911,2.7,[1.8 - 3.7],Both sexes,Urban,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2014,,Yes,,"Health warnings on other smoked tobacco packaging law applies to products: manufactured, domestically imported, for duty-free sale",Rural,Total
Estimated number of children needing antiretroviral therapy based on WHO methods,HIV_0000000023,Kenya,KEN,2015,140000,140 000,[110 000 - 190 000],,Total,Total
Tobacco Raise taxes: National taxes for tobacco and nicotine products,TOBACCO_MPOWER_R_TAX,Kenya,KEN,2024,0,0,,Taxes as a % of price: ad valorem excise,Total,Total
"Population pushed below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",FINPROTECTION_IMP_NP365_POP,Kenya,KEN,2005,1.23,1.23,,Total,Urban,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,1993,5.577037488,5.6,[2.7-9.1],Both sexes,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1994,18.9,18.9,[15.1-23.4],Male,Total,Total
Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),NCD_PAC,Kenya,KEN,2006,9.6288719,9.6,[6.4-13.6],Both sexes,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2000,14.71336,14.7,,1-59 months,Rural,Total
Healthy life expectancy (HALE) at age 60 (years),WHOSIS_000007,Kenya,KEN,2018,13.93869006,13.9,[13.4-14.6],Female,Total,Total
"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",TOBACCO_MPOWER_OVERVIEW,Kenya,KEN,2008,5,5,,Enforce bans on tobacco advertising,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2014,6.7,6.7,[5.2-8.7],Male,Urban,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2018,878.69274,878.7,,Both sexes,Total,Total
Mortality rate attributed to unintentional poisoning (per 100 000 population),SDGPOISON,Kenya,KEN,2016,1.62242374,1.6,[1.2-2.3],Both sexes,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2000,47,47.0,[45.0-49.0],Wealth - Bottom 60%,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1993,3.5,3.5,[1.6-7.6],Male,Rural,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2010,3154.66095,3154.7,,Both sexes,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2016,19.8,19.8,[15.6-24.9],Female,Total,Total
Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),WHOSIS_000016,Kenya,KEN,2022,2.398187574,2.4,[1.7-3.1],Female,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2008,1.8,1.8,[0.6-5.5],Male,Total,Total
Number of infant deaths,CM_02,Kenya,KEN,1961,21616,21 616,[19 780-23 590],Female,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,2017,0.769292097,0.8,,Other alcoholic beverages,Urban,Total
Tobacco Raise taxes: Retail price for tobacco and nicotine products,TOBACCO_MPOWER_R_PRICE,Kenya,KEN,2024,,. . .,,Price in currency reported,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2008,33.7,33.7,[28.2-39.7],Male,Total,Total
Tobacco Offer help: O2 Availability of tobacco cessation medications,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Kenya,KEN,2007,,Yes,,Nicotine replacement therapy - legally sold,Total,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2015,429.81,430,[282-683],Male,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2016,2,2.0,[1.4-3.0],Male,Total,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2011,62.287,62,[52-72],Male,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2014,12.5,12.5,[11.5-13.5],24 to 59 months,Urban,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2011,4065,4065,[2027-6306],Both sexes,Rural,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2004,1.37028,1.4,,0-27 days,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1998,110.3480012,110.3,[103.0-118.2],Male,Total,Total
"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",AIR_90,Kenya,KEN,2017,4.568,5,[2-9],Both sexes,Urban,Total
Estimated antiretroviral therapy coverage among children,HIV_0000000024,Kenya,KEN,2022,79,79,[64 - >98],,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2008,14.8,14.8,[12.9-16.9],Wealth - Middle 60%,Total,Total
BCG immunization coverage among 1-year-olds (%),WHS4_543,Kenya,KEN,2019,96,96,,,Urban,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2016,,No,,Plain packaging of smokeless tobacco products is mandatory,Rural,Total
Number of people operated for trachomatous trichiasis,NTD_TRA5,Kenya,KEN,2014,8073,8073,,,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2003,8.4,8.4,[6.2-11.2],12 to 17 months,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,Yes,,Country capacity targets,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1988,90162,90 162,[84 458-96 300],Both sexes,Total,Total
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Kenya,KEN,2014,2786.3,2786.3,[1410.2-4620.8],Female,Total,Total
"Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics",TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,Kenya,KEN,2014,0,0,,Number of places smoke-free,Urban,Total
Joint effects of air pollution attributable deaths,AIR_35,Kenya,KEN,2010,13511.786,13 512,[11 327-15 401],Both sexes,Rural,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2015,,Yes,,Guidelines,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1966,3.92,3.92,,All types,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2003,0.30812,0.3,,0-27 days,Urban,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2015,0,0,,Both sexes,Total,Total
"Substance use disorders service coverage, availability and quantity of specialized human workforce",SCSUD_HWFAVAILABILITY,Kenya,KEN,2023,,Not available,,41_02_available_addiction_counsellors,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1992,0.74,0.74,,Spirits,Urban,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2018,72.233,72,[63-78],Female,Rural,Total
"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",NCDMORT3070,Kenya,KEN,2012,19.3,19.3,[13.4-28.3],Female,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2011,26.3,26.3,,Total,Total,Total
Life expectancy at birth (years),WHOSIS_000001,Kenya,KEN,2001,53.19375135,53.2,[52.3-54.3],Male,Urban,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1993,23.2,23.2,[18.7-28.4],12 to 17 months,Total,Total
Population using at least basic drinking-water services (%),WSH_WATER_BASIC,Kenya,KEN,2012,56.06989,56,,Total,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1993,19.4,19.4,[17.9-21.0],Total (All ages),Urban,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2007,,Yes,,Smokeless tobacco packaging/labelling must not use figurative or other signs for prohibited misleading terms and descriptors,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",NUTSTUNTINGPREV,Kenya,KEN,2022,16.7,16.7,[15.3-18.5],Female,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2003,0,0,,0-27 days,Total,Total
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),CHILDMORT5TO14,Kenya,KEN,1990,16.74612269,16.7,[14.2-19.8],Male,Urban,Total
"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",FINPROTECTION_IMP_PRELPL_POP,Kenya,KEN,2015,12.09,12.09,,Total,Total,Total
Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,NTD_ONCHEMO,Kenya,KEN,2018,,No PC required,,,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2005,1.4,1.4,[0.9-2.2],Female,Urban,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2015,609.045,609,[224-1065],Female,Rural,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2005,24.67309542,24.67,[21.73 - 26.55],Rural,Total,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2013,52294.585,52 295,[41 149-61 751],Female,Total,Total
"Alcohol, abstainers past 12 months (%), age-standardized",SA_0000001411,Kenya,KEN,2000,71.8544633,71.9,[69.2 - 74.5],Both sexes,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,Yes,,"Policies, strategies and plans",Total,Total
Crude suicide rates (per 100 000 population),SDGSUICIDE,Kenya,KEN,2005,7.477213076,7.5,[5.7-11.3],Male,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2000,5,5.0,[2.8-8.8],Female,Urban,Total
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),WHOSIS_000004,Kenya,KEN,2016,227.8667295,228,,Female,Rural,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2022,11.1,11.1,[9.4-13.2],30 to 35 months,Total,Total
Crude suicide rates (per 100 000 population),SDGSUICIDE,Kenya,KEN,2021,4.581578427,4.6,[3.2-6.8],Both sexes,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,10.8,10.8,[8.7-13.5],Q5 (Richest),Urban,Total
Number of maternal deaths,MORT_MATERNALNUM,Kenya,KEN,1996,5636.995323,5637,[4584-6936],,Total,Total
Specialized treatment facilities for alcohol use disorders,RSUD_370,Kenya,KEN,2014,,No data,,In other areas,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2021,8316.114149,8316,,Both sexes,Urban,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2012,,Yes,,Specific health warnings are mandated for cigarette packaging,Rural,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2014,3.28022,3.3,,1-59 months,Total,Total
Estimate of current tobacco use prevalence (%),M_Est_tob_curr,Kenya,KEN,2005,13.6,13.6,[10.7-16.5],Both sexes,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2013,9.158,9,[3-17],Female,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2021,0,0,[0 - 0.7],Total,Total,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2015,584.578,585,[215-1022],Male,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,1994,15.73370312,15.7,[12.0-20.1],Male,Urban,Total
Tobacco Enforce bans: E2 indirect advertising,TOBACCO_MPOWER_E2_INDIRECTADBANS,Kenya,KEN,2018,,Yes,,Ban on free distribution in mail or through other means,Rural,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1993,28.9,28.9,[23.2-35.3],Male,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1970,0.01,0.01,,Wine,Total,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,2003,3.8,3.8,[3.5-4.1],Both sexes,Urban,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,2004,17.384696,17.4,[15.7-19.2],Both sexes,Total,Total
"Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",FINPROTECTION_IMP_NPRELPL_POP,Kenya,KEN,2015,1.25,1.25,,Total,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2003,2.3347544,2.3,[0.8-5.3],Both sexes,Urban,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2000,12360,12 360,[9679-15 568],Both sexes,Rural,Total
"Zero vegetable or fruit consumption, 6-23 months",NUT_CF_ZVF,Kenya,KEN,2014,38.3,38.3,[35.4-41.3],Wealth - Bottom 60%,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2003,39.4,39.4,[34.4-44.5],Female,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2018,1006.910753,1007,,Both sexes,Urban,Total
Tobacco Offer help: O2 Availability of tobacco cessation medications,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Kenya,KEN,2010,,No,,Nicotine replacement therapy - on the Essential Medicines List,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2022,2.9,2.9,[2.4-3.6],Secondary education,Total,Total
Exclusively breastfed for the first two days after birth,NUT_BF_EBF2D,Kenya,KEN,2003,35.2,35.2,[29.9-41.0],Q3,Urban,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2014,12,12.0,[11.2-12.8],6 to 59 months,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1994,43.9,43.9,[40.4-47.5],Q2,Total,Total
Tobacco Raise taxes: Retail price for tobacco and nicotine products,TOBACCO_MPOWER_R_PRICE,Kenya,KEN,2020,5.84,5.84,,Price in international dollars at purchasing power parity,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2014,7.778,8,[3-14],Female,Urban,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2011,277.61793,277.6,,Both sexes,Total,Total
"Dentists (per 10,000)",HWF_0010,Kenya,KEN,2002,0.23,0.23,,,Total,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2019,54.378,54,[44-64],Male,Urban,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2022,,Yes,,Ban on deceitful terms on cigarette packaging,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1994,6.8,6.8,[5.4-8.6],Male,Total,Total
"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",AIR_90,Kenya,KEN,2012,193.908,194,[106-268],Female,Total,Total
Egg and/or Flesh Food Consumption 6-23 months,NUT_CF_EFF,Kenya,KEN,2014,26.7,26.7,[23.8-29.7],Wealth - Bottom 40%,Urban,Total
